Timestamp,Heart Rate (BPM)
2025-06-26 18:39:19.796993,93
2025-06-26 18:39:20.786433,93
2025-06-26 18:39:21.806744,93
2025-06-26 18:39:22.795676,94
2025-06-26 18:39:23.788241,94
2025-06-26 18:39:24.807834,94
2025-06-26 18:39:25.797056,93
2025-06-26 18:39:26.789584,92
2025-06-26 18:39:27.806181,92
2025-06-26 18:39:28.797036,91
2025-06-26 18:39:29.820351,90
2025-06-26 18:39:30.805907,89
2025-06-26 18:39:31.796229,89
2025-06-26 18:39:32.785914,89
2025-06-26 18:39:33.806162,89
2025-06-26 18:39:34.797086,90
2025-06-26 18:39:35.817766,90
2025-06-26 18:39:36.807425,90
2025-06-26 18:39:37.798116,90
2025-06-26 18:39:38.787029,89
2025-06-26 18:39:39.806516,89
2025-06-26 18:39:40.827214,88
2025-06-26 18:39:41.789640,88
2025-06-26 18:39:42.807216,87
2025-06-26 18:39:43.796304,87
2025-06-26 18:39:44.847728,86
2025-06-26 18:39:45.866163,86
2025-06-26 18:39:46.797216,85
2025-06-26 18:39:47.793558,84
2025-06-26 18:39:48.809875,84
2025-06-26 18:39:49.797956,82
2025-06-26 18:39:50.787173,81
2025-06-26 18:39:51.806703,80
2025-06-26 18:39:52.797231,79
2025-06-26 18:39:53.786986,79
2025-06-26 18:39:54.807518,78
2025-06-26 18:39:55.807984,79
2025-06-26 18:39:56.816449,79
2025-06-26 18:39:57.808151,80
2025-06-26 18:39:58.827599,80
2025-06-26 18:39:59.787001,81
2025-06-26 18:40:00.807742,81
2025-06-26 18:40:01.797381,82
2025-06-26 18:40:02.786666,82
2025-06-26 18:40:03.807108,82
2025-06-26 18:40:04.797423,82
2025-06-26 18:40:05.818088,83
2025-06-26 18:40:06.806980,83
2025-06-26 18:40:07.796705,83
2025-06-26 18:40:08.786902,83
2025-06-26 18:40:09.776675,83
2025-06-26 18:40:10.796464,82
2025-06-26 18:40:11.787827,82
2025-06-26 18:40:12.779284,82
2025-06-26 18:40:13.796577,82
2025-06-26 18:40:14.818029,82
2025-06-26 18:40:15.776599,83
2025-06-26 18:40:16.798051,83
2025-06-26 18:40:17.847653,83
2025-06-26 18:40:18.776777,84
2025-06-26 18:40:19.797177,83
2025-06-26 18:40:20.786857,83
2025-06-26 18:40:21.808102,83
2025-06-26 18:40:22.798041,83
2025-06-26 18:40:23.789733,85
2025-06-26 18:40:24.780198,85
2025-06-26 18:40:25.797231,84
2025-06-26 18:40:26.787500,83
2025-06-26 18:40:27.777684,82
2025-06-26 18:40:28.797311,81
2025-06-26 18:40:29.787996,80
2025-06-26 18:40:30.778157,79
2025-06-26 18:40:31.797273,78
2025-06-26 18:40:32.787197,77
2025-06-26 18:40:33.778538,76
2025-06-26 18:40:34.797266,76
2025-06-26 18:40:35.787339,75
2025-06-26 18:40:36.807547,75
2025-06-26 18:40:37.797759,75
2025-06-26 18:40:38.818973,75
2025-06-26 18:40:39.778601,75
2025-06-26 18:40:40.797414,75
2025-06-26 18:40:41.787697,76
2025-06-26 18:40:42.778992,76
2025-06-26 18:40:43.828302,77
2025-06-26 18:40:44.787678,77
2025-06-26 18:40:45.779628,77
2025-06-26 18:40:46.799612,77
2025-06-26 18:40:47.788350,77
2025-06-26 18:40:48.778466,77
2025-06-26 18:40:49.797492,78
2025-06-26 18:40:50.787775,79
2025-06-26 18:40:51.779400,80
2025-06-26 18:40:52.798319,81
2025-06-26 18:40:53.788724,82
2025-06-26 18:40:54.784067,83
2025-06-26 18:40:55.799095,84
2025-06-26 18:40:56.792334,84
2025-06-26 18:40:57.784877,84
2025-06-26 18:40:58.798506,83
2025-06-26 18:40:59.788271,83
2025-06-26 18:41:00.783297,83
2025-06-26 18:41:01.797872,83
2025-06-26 18:41:02.819030,84
2025-06-26 18:41:03.782192,85
2025-06-26 18:41:04.798673,86
2025-06-26 18:41:05.788545,88
2025-06-26 18:41:06.783029,89
2025-06-26 18:41:07.797927,90
2025-06-26 18:41:08.819775,91
2025-06-26 18:41:09.808583,91
2025-06-26 18:41:10.806037,91
2025-06-26 18:41:11.818755,89
2025-06-26 18:41:12.779064,88
2025-06-26 18:41:13.798138,88
2025-06-26 18:41:14.788288,88
2025-06-26 18:41:15.808103,88
2025-06-26 18:41:16.798119,89
2025-06-26 18:41:17.789249,89
2025-06-26 18:41:18.779582,90
2025-06-26 18:41:19.798315,90
2025-06-26 18:41:20.819725,91
2025-06-26 18:41:21.779190,92
2025-06-26 18:41:22.798178,92
2025-06-26 18:41:23.789075,91
2025-06-26 18:41:24.784516,90
2025-06-26 18:41:25.829669,89
2025-06-26 18:41:26.791295,87
2025-06-26 18:41:27.809658,85
2025-06-26 18:41:28.799580,83
2025-06-26 18:41:29.792161,81
2025-06-26 18:41:30.780012,80
2025-06-26 18:41:31.798807,79
2025-06-26 18:41:32.789293,78
2025-06-26 18:41:33.809816,79
2025-06-26 18:41:34.799451,80
2025-06-26 18:41:35.789509,81
2025-06-26 18:41:36.808554,82
2025-06-26 18:41:37.798530,83
2025-06-26 18:41:38.788517,83
2025-06-26 18:41:39.780219,82
2025-06-26 18:41:40.800180,82
2025-06-26 18:41:41.848592,81
2025-06-26 18:41:42.808627,81
2025-06-26 18:41:43.800068,81
2025-06-26 18:41:44.789484,81
2025-06-26 18:41:45.779898,82
2025-06-26 18:41:46.798882,84
2025-06-26 18:41:47.788634,85
2025-06-26 18:41:48.780578,86
2025-06-26 18:41:49.799821,86
2025-06-26 18:41:50.788815,87
2025-06-26 18:41:51.779270,87
2025-06-26 18:41:52.798770,88
2025-06-26 18:41:53.789953,89
2025-06-26 18:41:54.810395,89
2025-06-26 18:41:55.799100,88
2025-06-26 18:41:56.794551,88
2025-06-26 18:41:57.808805,88
2025-06-26 18:41:58.800004,88
2025-06-26 18:41:59.790109,89
2025-06-26 18:42:00.779681,90
2025-06-26 18:42:01.799741,91
2025-06-26 18:42:02.819194,92
2025-06-26 18:42:03.780746,92
2025-06-26 18:42:04.800280,93
2025-06-26 18:42:05.790072,91
2025-06-26 18:42:06.779923,90
2025-06-26 18:42:07.799586,88
2025-06-26 18:42:08.820269,87
2025-06-26 18:42:09.783017,85
2025-06-26 18:42:10.799516,84
2025-06-26 18:42:11.790723,82
2025-06-26 18:42:12.779531,81
2025-06-26 18:42:13.769737,80
2025-06-26 18:42:14.822464,79
2025-06-26 18:42:15.869233,78
2025-06-26 18:42:16.769710,77
2025-06-26 18:42:17.789571,77
2025-06-26 18:42:18.779309,78
2025-06-26 18:42:19.769950,77
2025-06-26 18:42:20.790318,76
2025-06-26 18:42:21.779383,74
2025-06-26 18:42:22.771149,73
2025-06-26 18:42:23.790626,72
2025-06-26 18:42:24.782064,70
2025-06-26 18:42:25.769220,71
2025-06-26 18:42:26.789804,71
2025-06-26 18:42:27.779414,73
2025-06-26 18:42:28.769976,74
2025-06-26 18:42:29.792473,76
2025-06-26 18:42:30.780253,77
2025-06-26 18:42:31.830361,78
2025-06-26 18:42:32.790941,78
2025-06-26 18:42:33.810926,78
2025-06-26 18:42:34.770306,78
2025-06-26 18:42:35.851318,79
2025-06-26 18:42:36.780179,80
2025-06-26 18:42:37.799306,81
2025-06-26 18:42:38.789452,82
2025-06-26 18:42:39.780611,83
2025-06-26 18:42:40.770406,83
2025-06-26 18:42:41.800071,84
2025-06-26 18:42:42.809727,84
2025-06-26 18:42:43.771991,84
2025-06-26 18:42:44.820295,85
2025-06-26 18:42:45.779969,85
2025-06-26 18:42:46.830748,85
2025-06-26 18:42:47.820313,85
2025-06-26 18:42:48.810858,85
2025-06-26 18:42:49.770379,86
2025-06-26 18:42:50.790030,86
2025-06-26 18:42:51.780025,87
2025-06-26 18:42:52.772469,88
2025-06-26 18:42:53.790102,89
2025-06-26 18:42:54.781278,90
2025-06-26 18:42:55.769829,90
2025-06-26 18:42:56.790319,90
2025-06-26 18:42:57.791040,88
2025-06-26 18:42:58.769939,87
2025-06-26 18:42:59.791068,86
2025-06-26 18:43:00.780015,84
2025-06-26 18:43:01.770148,83
2025-06-26 18:43:02.790067,82
2025-06-26 18:43:03.780003,82
2025-06-26 18:43:04.801509,82
2025-06-26 18:43:05.792564,83
2025-06-26 18:43:06.813390,84
2025-06-26 18:43:07.773475,85
2025-06-26 18:43:08.790939,86
2025-06-26 18:43:09.780289,85
2025-06-26 18:43:10.803195,85
2025-06-26 18:43:11.790093,83
2025-06-26 18:43:12.810216,82
2025-06-26 18:43:13.770430,81
2025-06-26 18:43:14.789934,81
2025-06-26 18:43:15.783366,81
2025-06-26 18:43:16.773359,81
2025-06-26 18:43:17.790449,81
2025-06-26 18:43:18.780747,81
2025-06-26 18:43:19.771632,81
2025-06-26 18:43:20.820663,80
2025-06-26 18:43:21.811719,80
2025-06-26 18:43:22.770562,80
2025-06-26 18:43:23.790163,80
2025-06-26 18:43:24.791247,81
2025-06-26 18:43:25.770447,82
2025-06-26 18:43:26.791530,83
2025-06-26 18:43:27.781237,84
2025-06-26 18:43:28.770974,85
2025-06-26 18:43:29.791029,85
2025-06-26 18:43:30.781072,85
2025-06-26 18:43:31.770287,85
2025-06-26 18:43:32.790543,86
2025-06-26 18:43:33.781360,87
2025-06-26 18:43:34.801171,88
2025-06-26 18:43:35.791542,89
2025-06-26 18:43:36.781029,90
2025-06-26 18:43:37.771193,90
2025-06-26 18:43:38.791972,89
2025-06-26 18:43:39.780438,88
2025-06-26 18:43:40.801684,87
2025-06-26 18:43:41.793594,86
2025-06-26 18:43:42.781629,84
2025-06-26 18:43:43.771787,84
2025-06-26 18:43:44.790468,84
2025-06-26 18:43:45.781019,85
2025-06-26 18:43:46.770542,86
2025-06-26 18:43:47.791757,86
2025-06-26 18:43:48.781702,86
2025-06-26 18:43:49.801099,86
2025-06-26 18:43:50.790954,85
2025-06-26 18:43:51.781203,85
2025-06-26 18:43:52.771577,84
2025-06-26 18:43:53.822790,85
2025-06-26 18:43:54.781006,85
2025-06-26 18:43:55.770652,86
2025-06-26 18:43:56.793476,87
2025-06-26 18:43:57.810845,87
2025-06-26 18:43:58.771703,87
2025-06-26 18:43:59.791903,87
2025-06-26 18:44:00.781857,87
2025-06-26 18:44:01.770973,88
2025-06-26 18:44:02.792097,88
2025-06-26 18:44:03.810901,89
2025-06-26 18:44:04.771491,90
2025-06-26 18:44:05.791299,90
2025-06-26 18:44:06.781893,90
2025-06-26 18:44:07.771324,90
2025-06-26 18:44:08.791147,90
2025-06-26 18:44:09.781873,91
2025-06-26 18:44:10.771465,91
2025-06-26 18:44:11.791942,91
2025-06-26 18:44:12.781602,92
2025-06-26 18:44:13.772316,91
2025-06-26 18:44:14.791134,90
2025-06-26 18:44:15.782650,88
2025-06-26 18:44:16.774571,87
2025-06-26 18:44:17.791194,86
2025-06-26 18:44:18.781086,84
2025-06-26 18:44:19.802336,84
2025-06-26 18:44:20.792100,83
2025-06-26 18:44:21.781318,83
2025-06-26 18:44:22.772082,83
2025-06-26 18:44:23.763147,84
2025-06-26 18:44:24.781525,85
2025-06-26 18:44:25.831210,86
2025-06-26 18:44:26.762700,87
2025-06-26 18:44:27.782492,88
2025-06-26 18:44:28.772993,89
2025-06-26 18:44:29.763971,90
2025-06-26 18:44:30.782547,91
2025-06-26 18:44:31.772511,92
2025-06-26 18:44:32.762531,92
2025-06-26 18:44:33.786163,93
2025-06-26 18:44:34.803650,94
2025-06-26 18:44:35.763116,94
2025-06-26 18:44:36.812102,95
2025-06-26 18:44:37.772878,96
2025-06-26 18:44:38.793393,97
2025-06-26 18:44:39.782885,96
2025-06-26 18:44:40.771737,95
2025-06-26 18:44:41.762105,94
2025-06-26 18:44:42.781744,93
2025-06-26 18:44:43.803142,92
2025-06-26 18:44:44.792144,91
2025-06-26 18:44:45.813037,90
2025-06-26 18:44:46.772410,90
