Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-26 18:13:59.227196,104,93,Yes,106,1.000
2025-06-26 18:14:11.341460,108,93,Yes,104,2.000
2025-06-26 18:14:31.374339,96,93,Yes,108,2.000
2025-06-26 18:14:54.920691,83,93,Yes,96,1.300
2025-06-26 18:15:10.875388,89,93,Yes,83,0.000
2025-06-26 18:15:30.812523,85,93,Yes,89,0.600
2025-06-26 18:15:54.333051,85,93,Yes,85,0.200
2025-06-26 18:16:14.698637,93,93,Yes,85,0.200
2025-06-26 18:16:28.530774,88,93,Yes,93,1.000
2025-06-26 18:16:45.357370,90,93,Yes,88,0.500
2025-06-26 18:16:58.694455,93,93,Yes,90,0.700
2025-06-26 18:17:16.108236,89,93,Yes,93,1.000
2025-06-26 18:17:43.296487,84,93,Yes,89,0.600
2025-06-26 18:18:00.881276,92,93,Yes,84,0.100
2025-06-26 18:18:15.521163,89,93,Yes,92,0.900
2025-06-26 18:18:34.735158,83,93,Yes,89,0.600
2025-06-26 18:18:56.040182,84,93,Yes,83,0.000
2025-06-26 18:19:09.560743,86,93,Yes,84,0.100
2025-06-26 18:19:21.115072,78,93,Yes,86,0.300
2025-06-26 18:19:43.799457,83,93,Yes,78,0.000
2025-06-26 18:19:56.917794,83,93,Yes,83,0.000
2025-06-26 18:20:07.396469,82,93,Yes,83,0.000
2025-06-26 18:20:42.774866,80,93,Yes,82,0.000
2025-06-26 18:21:10.660967,83,93,Yes,80,0.000
