Timestamp,HR at Recording Start (BPM)
2025-06-26 18:14:01.941859,104
2025-06-26 18:14:16.279933,101
2025-06-26 18:14:36.414843,96
2025-06-26 18:14:57.108602,82
2025-06-26 18:15:13.942986,88
2025-06-26 18:15:33.271694,81
2025-06-26 18:15:56.501430,85
2025-06-26 18:16:15.437325,93
2025-06-26 18:16:29.685774,87
2025-06-26 18:16:47.134242,87
2025-06-26 18:17:01.683668,92
2025-06-26 18:17:17.685467,90
2025-06-26 18:17:45.760982,87
2025-06-26 18:18:02.087416,92
2025-06-26 18:18:16.914882,87
2025-06-26 18:18:36.090017,81
2025-06-26 18:18:57.429457,83
2025-06-26 18:19:11.887782,86
2025-06-26 18:19:23.683132,81
2025-06-26 18:19:45.331465,84
2025-06-26 18:19:57.982730,84
2025-06-26 18:20:08.295423,84
2025-06-26 18:20:45.372316,78
