Timestamp,HR at Recording Start (BPM),Mode
2025-12-25 16:26:53.554838,99
2025-12-25 16:27:09.649217,97
2025-12-25 16:27:30.975742,91
2025-12-25 16:27:46.632184,89
2025-12-25 16:28:00.928567,94
2025-12-25 16:28:16.815304,94
2025-12-25 16:28:43.216205,91
2025-12-25 16:29:04.804607,90
2025-12-25 16:29:25.275322,89
2025-12-25 16:29:50.215002,95
2025-12-25 16:30:15.305333,94
2025-12-25 16:30:42.932955,90
2025-12-25 16:31:09.568348,94
2025-12-25 16:31:34.765137,92
2025-12-25 16:32:01.614926,93
2025-12-25 16:32:22.261581,91
2025-12-25 16:32:42.504841,92
2025-12-25 16:33:04.323156,89
2025-12-25 16:33:28.941267,93
2025-12-25 16:33:50.731727,94
