Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-24 16:32:03.206282,64,71,Yes,N/A,0.952,2025-12-24 16:32:00.786713,2025-12-24 16:32:03.206235
2025-12-24 16:32:21.574543,75,71,Yes,N/A,1.102,2025-12-24 16:32:13.303610,2025-12-24 16:32:21.574485
2025-12-24 16:32:39.117686,77,71,Yes,N/A,1.252,2025-12-24 16:32:29.620790,2025-12-24 16:32:39.117649
2025-12-24 16:32:57.042135,76,71,Yes,N/A,1.402,2025-12-24 16:32:46.772377,2025-12-24 16:32:57.042084
2025-12-24 16:33:12.376263,71,71,Yes,N/A,1.552,2025-12-24 16:33:05.157590,2025-12-24 16:33:12.376224
2025-12-24 16:33:31.110183,66,71,Yes,N/A,1.702,2025-12-24 16:33:21.886560,2025-12-24 16:33:31.109887
2025-12-24 16:33:51.038748,64,71,Yes,N/A,1.852,2025-12-24 16:33:42.020737,2025-12-24 16:33:51.038675
2025-12-24 16:34:12.374781,68,71,Yes,N/A,2.000,2025-12-24 16:34:02.772564,2025-12-24 16:34:12.374743
2025-12-24 16:34:42.515261,66,71,Yes,N/A,2.000,2025-12-24 16:34:33.459392,2025-12-24 16:34:42.515207
2025-12-24 16:35:05.954325,66,71,Yes,N/A,2.000,2025-12-24 16:34:55.369691,2025-12-24 16:35:05.954265
2025-12-24 16:35:33.423937,67,71,Yes,N/A,2.000,2025-12-24 16:35:23.701748,2025-12-24 16:35:33.423896
2025-12-24 16:36:00.650526,67,71,Yes,N/A,2.000,2025-12-24 16:35:52.119687,2025-12-24 16:36:00.649535
2025-12-24 16:36:19.897028,69,71,Yes,N/A,2.000,2025-12-24 16:36:12.066644,2025-12-24 16:36:19.896988
2025-12-24 16:36:46.650806,64,71,Yes,N/A,2.000,2025-12-24 16:36:38.853537,2025-12-24 16:36:46.650750
2025-12-24 16:37:15.693374,66,71,Yes,N/A,2.000,2025-12-24 16:37:06.237093,2025-12-24 16:37:15.679252
2025-12-24 16:37:39.066133,67,71,Yes,N/A,2.000,2025-12-24 16:37:28.660609,2025-12-24 16:37:39.065812
2025-12-24 16:38:14.281545,68,71,Yes,N/A,2.000,2025-12-24 16:38:01.764321,2025-12-24 16:38:14.281490
2025-12-24 16:38:49.030598,67,71,Yes,N/A,2.000,2025-12-24 16:38:35.789508,2025-12-24 16:38:49.030554
2025-12-24 16:39:16.690804,63,71,Yes,N/A,2.000,2025-12-24 16:39:05.185120,2025-12-24 16:39:16.690765
