Timestamp,HR at Recording Start (BPM),Mode
2025-12-25 12:31:46.209668,85
2025-12-25 12:32:12.674004,83
2025-12-25 12:32:28.455579,81
2025-12-25 12:32:43.783464,77
2025-12-25 12:33:01.032386,77
2025-12-25 12:33:26.255877,78
2025-12-25 12:33:43.780623,81
2025-12-25 12:34:00.106571,80
2025-12-25 12:34:17.514167,78
2025-12-25 12:34:35.560012,79
2025-12-25 12:34:53.134958,81
2025-12-25 12:35:08.750536,85
2025-12-25 12:35:25.985987,81
2025-12-25 12:35:43.105149,78
2025-12-25 12:36:00.262172,83
2025-12-25 12:36:16.305269,82
2025-12-25 12:36:35.725954,80
2025-12-25 12:36:52.997882,79
2025-12-25 12:37:07.735761,80
2025-12-25 12:37:28.144718,80
2025-12-25 12:37:49.610224,77
2025-12-25 12:38:09.784692,83
2025-12-25 12:38:31.985917,80
2025-12-25 12:38:53.866408,86
