Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 12:45:42.806228,64,59,No,N/A,1.000,2025-11-18 12:45:38.674512,2025-11-18 12:45:42.702781
2025-11-18 12:45:55.180982,59,59,No,N/A,1.000,2025-11-18 12:45:50.745557,2025-11-18 12:45:55.075166
2025-11-18 12:46:18.503159,65,59,No,N/A,1.000,2025-11-18 12:46:11.263124,2025-11-18 12:46:18.395856
2025-11-18 12:46:46.852494,60,59,No,N/A,1.000,2025-11-18 12:46:35.428508,2025-11-18 12:46:46.751049
2025-11-18 12:47:15.567190,64,59,No,N/A,1.000,2025-11-18 12:47:02.940939,2025-11-18 12:47:15.462695
2025-11-18 12:47:35.228648,56,59,No,N/A,1.000,2025-11-18 12:47:25.441536,2025-11-18 12:47:35.123139
2025-11-18 12:48:02.521909,63,59,No,N/A,1.000,2025-11-18 12:47:53.703361,2025-11-18 12:48:02.415694
2025-11-18 12:48:19.890757,62,59,No,N/A,1.000,2025-11-18 12:48:12.437487,2025-11-18 12:48:19.786383
2025-11-18 12:48:36.963557,57,59,No,N/A,1.000,2025-11-18 12:48:31.006967,2025-11-18 12:48:36.859227
2025-11-18 12:48:46.646421,56,59,No,N/A,1.000,2025-11-18 12:48:43.322083,2025-11-18 12:48:46.540898
2025-11-18 12:48:56.969997,55,59,No,N/A,1.000,2025-11-18 12:48:53.863590,2025-11-18 12:48:56.867733
2025-11-18 12:49:10.717270,56,59,No,N/A,1.000,2025-11-18 12:49:07.288027,2025-11-18 12:49:10.611603
2025-11-18 12:50:00.400247,58,59,No,N/A,1.000,2025-11-18 12:49:55.877352,2025-11-18 12:50:00.299899
2025-11-18 12:50:25.593620,61,59,No,N/A,1.000,2025-11-18 12:50:13.057755,2025-11-18 12:50:25.483158
2025-11-18 12:50:48.974764,60,59,No,N/A,1.000,2025-11-18 12:50:38.619111,2025-11-18 12:50:48.869302
2025-11-18 12:51:12.888264,64,59,No,N/A,1.000,2025-11-18 12:51:03.388267,2025-11-18 12:51:12.782996
2025-11-18 12:51:43.061963,55,59,No,N/A,1.000,2025-11-18 12:51:32.220545,2025-11-18 12:51:42.955409
2025-11-18 12:52:10.371000,55,59,No,N/A,1.000,2025-11-18 12:51:55.088994,2025-11-18 12:52:10.267440
2025-11-18 12:52:36.992228,62,59,No,N/A,1.000,2025-11-18 12:52:22.502739,2025-11-18 12:52:36.886883
