Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 13:04:47.758746,62,59,Yes,N/A,1.000,2025-11-18 13:04:43.681836,2025-11-18 13:04:47.653495
2025-11-18 13:05:06.694298,63,59,Yes,N/A,1.100,2025-11-18 13:05:00.161962,2025-11-18 13:05:06.593569
2025-11-18 13:05:23.055319,56,59,Yes,N/A,1.200,2025-11-18 13:05:14.140206,2025-11-18 13:05:22.951136
2025-11-18 13:05:39.397785,54,59,Yes,N/A,1.300,2025-11-18 13:05:31.619857,2025-11-18 13:05:39.296645
2025-11-18 13:06:00.509142,55,59,Yes,N/A,1.400,2025-11-18 13:05:53.093068,2025-11-18 13:06:00.404043
2025-11-18 13:06:22.510348,58,59,Yes,N/A,1.500,2025-11-18 13:06:14.076243,2025-11-18 13:06:22.405529
2025-11-18 13:06:49.933372,57,59,Yes,N/A,1.600,2025-11-18 13:06:39.612469,2025-11-18 13:06:49.831169
2025-11-18 13:07:19.088744,53,59,Yes,N/A,1.700,2025-11-18 13:07:10.117152,2025-11-18 13:07:18.983909
2025-11-18 13:07:52.012716,53,59,Yes,N/A,1.800,2025-11-18 13:07:41.696349,2025-11-18 13:07:51.908726
2025-11-18 13:08:19.257894,53,59,Yes,N/A,1.900,2025-11-18 13:08:04.342740,2025-11-18 13:08:19.155569
2025-11-18 13:08:44.202652,55,59,Yes,N/A,2.000,2025-11-18 13:08:32.685038,2025-11-18 13:08:44.098525
2025-11-18 13:09:07.154663,58,59,Yes,N/A,1.900,2025-11-18 13:08:57.017843,2025-11-18 13:09:07.048944
2025-11-18 13:09:34.867590,55,59,Yes,N/A,1.800,2025-11-18 13:09:21.140722,2025-11-18 13:09:34.767215
2025-11-18 13:09:59.640821,57,59,Yes,N/A,1.700,2025-11-18 13:09:48.648923,2025-11-18 13:09:59.538281
2025-11-18 13:10:28.602805,56,59,Yes,N/A,1.600,2025-11-18 13:10:15.215054,2025-11-18 13:10:28.502539
2025-11-18 13:10:52.971888,58,59,Yes,N/A,1.500,2025-11-18 13:10:41.971639,2025-11-18 13:10:52.866455
2025-11-18 13:11:20.042557,56,59,Yes,N/A,1.400,2025-11-18 13:11:06.987413,2025-11-18 13:11:19.941561
2025-11-18 13:11:46.195370,59,59,Yes,N/A,1.300,2025-11-18 13:11:33.636833,2025-11-18 13:11:46.088004
2025-11-18 13:12:13.827877,53,59,Yes,N/A,1.200,2025-11-18 13:11:59.411960,2025-11-18 13:12:13.722643
