Timestamp,HR at Recording Start (BPM)
2025-11-18 12:45:43.863037,62
2025-11-18 12:46:02.056273,62
2025-11-18 12:46:19.635641,65
2025-11-18 12:46:23.263430,63
2025-11-18 12:46:47.974781,59
2025-11-18 12:46:50.136905,58
2025-11-18 12:47:16.715081,64
2025-11-18 12:47:36.377554,56
2025-11-18 12:47:42.922755,56
2025-11-18 12:48:03.533578,63
2025-11-18 12:48:06.141107,60
2025-11-18 12:48:22.004784,62
2025-11-18 12:48:38.377110,57
2025-11-18 12:48:47.951705,55
2025-11-18 12:49:01.524460,55
2025-11-18 12:49:49.917372,57
2025-11-18 12:50:03.554144,59
2025-11-18 12:50:26.874168,61
2025-11-18 12:50:49.947108,60
2025-11-18 12:50:54.031826,56
2025-11-18 12:51:13.874780,63
2025-11-18 12:51:16.802017,61
2025-11-18 12:51:43.894368,55
2025-11-18 12:52:11.360673,55
