Timestamp,HR at Recording Start (BPM)
2025-11-18 13:04:48.944718,63
2025-11-18 13:05:07.670802,63
2025-11-18 13:05:24.139616,56
2025-11-18 13:05:39.795738,54
2025-11-18 13:06:01.592612,54
2025-11-18 13:06:23.668442,58
2025-11-18 13:06:51.760986,58
2025-11-18 13:07:20.277892,53
2025-11-18 13:07:52.924840,53
2025-11-18 13:08:19.880722,53
2025-11-18 13:08:44.983397,55
2025-11-18 13:09:08.393629,58
2025-11-18 13:09:35.636170,56
2025-11-18 13:10:01.431536,58
2025-11-18 13:10:30.907782,55
2025-11-18 13:10:54.700032,58
2025-11-18 13:11:21.268140,56
2025-11-18 13:11:47.293212,58
2025-11-18 13:12:14.535653,53
