Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-26 14:27:01.245828,80,72,Yes,84,1.000
2025-06-26 14:27:19.100017,82,72,Yes,80,1.800
2025-06-26 14:27:35.589677,79,72,Yes,82,2.000
2025-06-26 14:27:55.913535,78,72,Yes,79,1.700
2025-06-26 14:28:33.521920,77,72,Yes,78,1.600
2025-06-26 14:29:19.063841,91,72,Yes,77,1.500
2025-06-26 14:29:51.132899,90,72,Yes,91,2.000
2025-06-26 14:30:11.462306,81,72,Yes,90,2.000
2025-06-26 14:30:32.121479,76,72,Yes,81,1.900
2025-06-26 14:31:16.973900,77,72,Yes,76,1.400
2025-06-26 14:31:44.824406,74,72,Yes,77,1.500
2025-06-26 14:32:21.069143,81,72,Yes,74,1.200
2025-06-26 14:33:01.562304,79,72,Yes,81,1.900
2025-06-26 14:33:36.082933,84,72,Yes,79,1.700
