Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-12 13:42:11.134307,77,71,Yes,81,1.000
2025-06-12 13:42:23.155393,76,71,Yes,77,1.600
2025-06-12 13:42:49.894029,65,71,Yes,76,1.500
2025-06-12 13:43:21.753542,64,71,Yes,65,0.400
2025-06-12 13:43:56.548300,64,71,Yes,64,0.300
2025-06-12 13:44:45.206059,78,71,Yes,64,0.300
2025-06-12 13:45:14.487764,67,71,Yes,78,1.700
2025-06-12 13:45:48.524223,69,71,Yes,67,0.600
2025-06-12 13:47:49.924342,72,71,Yes,69,0.800
2025-06-12 13:48:08.348871,69,71,Yes,72,1.100
2025-06-12 13:48:52.016204,68,71,Yes,69,0.800
