Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 16:26:48.415779,99,91,Yes,N/A,1.015,2025-12-25 16:26:46.005445,2025-12-25 16:26:48.415725
2025-12-25 16:27:04.588340,98,91,Yes,N/A,1.039,2025-12-25 16:26:57.197241,2025-12-25 16:27:04.585576
2025-12-25 16:27:18.946064,95,91,Yes,N/A,1.156,2025-12-25 16:27:12.826076,2025-12-25 16:27:18.946022
2025-12-25 16:27:39.905313,95,91,Yes,N/A,1.257,2025-12-25 16:27:34.041468,2025-12-25 16:27:39.905260
2025-12-25 16:27:54.945593,93,91,Yes,N/A,1.407,2025-12-25 16:27:49.505060,2025-12-25 16:27:54.945547
2025-12-25 16:28:08.725374,96,91,Yes,N/A,1.526,2025-12-25 16:28:03.638722,2025-12-25 16:28:08.725332
2025-12-25 16:28:31.406939,87,91,Yes,N/A,1.611,2025-12-25 16:28:21.166965,2025-12-25 16:28:31.406898
2025-12-25 16:28:58.195735,89,91,Yes,N/A,1.703,2025-12-25 16:28:47.575310,2025-12-25 16:28:58.195685
2025-12-25 16:29:18.716641,89,91,Yes,N/A,1.804,2025-12-25 16:29:09.154512,2025-12-25 16:29:18.716584
2025-12-25 16:29:40.991430,90,91,Yes,N/A,1.918,2025-12-25 16:29:29.907289,2025-12-25 16:29:40.991328
2025-12-25 16:30:04.397279,93,91,Yes,N/A,2.000,2025-12-25 16:29:54.241184,2025-12-25 16:30:04.397237
2025-12-25 16:30:33.456715,91,91,Yes,N/A,2.000,2025-12-25 16:30:20.712561,2025-12-25 16:30:33.456673
2025-12-25 16:30:58.155466,93,91,Yes,N/A,2.000,2025-12-25 16:30:47.406574,2025-12-25 16:30:58.155420
2025-12-25 16:31:26.987120,92,91,Yes,N/A,2.000,2025-12-25 16:31:14.980899,2025-12-25 16:31:26.983509
2025-12-25 16:31:51.430829,90,91,Yes,N/A,2.000,2025-12-25 16:31:38.884748,2025-12-25 16:31:51.430765
2025-12-25 16:32:17.415888,91,91,Yes,N/A,2.000,2025-12-25 16:32:06.068572,2025-12-25 16:32:17.415399
2025-12-25 16:32:34.968761,94,91,Yes,N/A,2.000,2025-12-25 16:32:25.743223,2025-12-25 16:32:34.968719
2025-12-25 16:32:57.843365,89,91,Yes,N/A,2.000,2025-12-25 16:32:46.710441,2025-12-25 16:32:57.843323
2025-12-25 16:33:21.246350,92,91,Yes,N/A,2.000,2025-12-25 16:33:09.119386,2025-12-25 16:33:21.246302
2025-12-25 16:33:42.956332,96,91,Yes,N/A,2.000,2025-12-25 16:33:33.312059,2025-12-25 16:33:42.956277
2025-12-25 16:34:03.575516,94,91,Yes,N/A,2.000,2025-12-25 16:33:54.733959,2025-12-25 16:34:03.575440
