Timestamp,HR at Recording Start (BPM)
2025-11-18 14:07:46.058239,76
2025-11-18 14:07:58.109962,76
2025-11-18 14:08:13.557689,70
2025-11-18 14:08:33.383824,71
2025-11-18 14:08:48.633116,72
2025-11-18 14:09:11.973744,69
2025-11-18 14:09:26.696803,73
2025-11-18 14:09:45.178030,70
2025-11-18 14:10:07.641135,69
2025-11-18 14:10:28.183959,67
2025-11-18 14:10:51.941690,70
2025-11-18 14:11:10.457194,72
2025-11-18 14:11:26.239400,68
2025-11-18 14:11:45.455361,69
2025-11-18 14:12:05.445736,67
2025-11-18 14:12:26.131280,67
2025-11-18 14:12:48.666130,68
2025-11-18 14:13:05.463910,70
2025-11-18 14:13:30.029205,68
2025-11-18 14:13:46.101522,69
