Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 13:58:02.424409,75,68,Yes,N/A,1.000,2025-11-18 13:57:59.768799,2025-11-18 13:58:02.319257
2025-11-18 13:58:17.092122,71,68,Yes,N/A,1.100,2025-11-18 13:58:12.116677,2025-11-18 13:58:16.987014
2025-11-18 13:58:33.767030,66,68,Yes,N/A,1.200,2025-11-18 13:58:27.469560,2025-11-18 13:58:33.661835
2025-11-18 13:58:51.500259,69,68,Yes,N/A,1.300,2025-11-18 13:58:45.052426,2025-11-18 13:58:51.397070
2025-11-18 13:59:08.986694,70,68,Yes,N/A,1.400,2025-11-18 13:59:03.451395,2025-11-18 13:59:08.883635
2025-11-18 13:59:29.975357,69,68,Yes,N/A,1.500,2025-11-18 13:59:23.040861,2025-11-18 13:59:29.873189
2025-11-18 13:59:47.957815,69,68,Yes,N/A,1.600,2025-11-18 13:59:42.412142,2025-11-18 13:59:47.854842
2025-11-18 14:00:04.570497,74,68,Yes,N/A,1.700,2025-11-18 14:00:00.104959,2025-11-18 14:00:04.467430
2025-11-18 14:00:26.285423,70,68,Yes,N/A,1.800,2025-11-18 14:00:18.994784,2025-11-18 14:00:26.181375
2025-11-18 14:00:45.173073,73,68,Yes,N/A,1.900,2025-11-18 14:00:36.938069,2025-11-18 14:00:45.068042
2025-11-18 14:01:04.280639,69,68,Yes,N/A,2.000,2025-11-18 14:00:57.478594,2025-11-18 14:01:04.175609
2025-11-18 14:01:27.871090,68,68,Yes,N/A,1.900,2025-11-18 14:01:17.395810,2025-11-18 14:01:27.765982
2025-11-18 14:01:45.684418,69,68,Yes,N/A,1.800,2025-11-18 14:01:39.950648,2025-11-18 14:01:45.582974
2025-11-18 14:02:05.662566,70,68,Yes,N/A,1.700,2025-11-18 14:01:58.868208,2025-11-18 14:02:05.556327
2025-11-18 14:02:24.790167,71,68,Yes,N/A,1.600,2025-11-18 14:02:17.593837,2025-11-18 14:02:24.686953
2025-11-18 14:02:45.718183,69,68,Yes,N/A,1.500,2025-11-18 14:02:37.802567,2025-11-18 14:02:45.615504
2025-11-18 14:03:06.138911,74,68,Yes,N/A,1.400,2025-11-18 14:02:58.505448,2025-11-18 14:03:06.034406
2025-11-18 14:03:22.016292,73,68,Yes,N/A,1.300,2025-11-18 14:03:15.660904,2025-11-18 14:03:21.913776
2025-11-18 14:03:40.637224,70,68,Yes,N/A,1.200,2025-11-18 14:03:32.114966,2025-11-18 14:03:40.531898
2025-11-18 14:04:00.382599,71,68,Yes,N/A,1.100,2025-11-18 14:03:52.774906,2025-11-18 14:04:00.277620
2025-11-18 14:04:16.606117,69,68,Yes,N/A,1.000,2025-11-18 14:04:10.427776,2025-11-18 14:04:16.500800
