Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 14:07:44.807592,79,68,No,N/A,1.000,2025-11-18 14:07:42.164927,2025-11-18 14:07:44.701992
2025-11-18 14:07:56.887626,76,68,No,N/A,1.000,2025-11-18 14:07:52.489313,2025-11-18 14:07:56.782275
2025-11-18 14:08:11.311730,71,68,No,N/A,1.000,2025-11-18 14:08:05.959585,2025-11-18 14:08:11.207212
2025-11-18 14:08:31.426140,71,68,No,N/A,1.000,2025-11-18 14:08:26.030048,2025-11-18 14:08:31.321304
2025-11-18 14:08:46.383788,69,68,No,N/A,1.000,2025-11-18 14:08:40.622299,2025-11-18 14:08:46.277797
2025-11-18 14:09:10.034783,69,68,No,N/A,1.000,2025-11-18 14:09:03.808163,2025-11-18 14:09:09.931297
2025-11-18 14:09:25.086655,72,68,No,N/A,1.000,2025-11-18 14:09:19.928750,2025-11-18 14:09:24.980288
2025-11-18 14:09:42.104149,72,68,No,N/A,1.000,2025-11-18 14:09:36.050730,2025-11-18 14:09:42.001000
2025-11-18 14:10:05.141220,70,68,No,N/A,1.000,2025-11-18 14:09:55.163336,2025-11-18 14:10:05.037597
2025-11-18 14:10:26.657331,69,68,No,N/A,1.000,2025-11-18 14:10:19.228336,2025-11-18 14:10:26.552684
2025-11-18 14:10:50.095752,70,68,No,N/A,1.000,2025-11-18 14:10:38.717281,2025-11-18 14:10:49.992539
2025-11-18 14:11:08.879749,72,68,No,N/A,1.000,2025-11-18 14:11:01.562214,2025-11-18 14:11:08.774904
2025-11-18 14:11:24.504965,70,68,No,N/A,1.000,2025-11-18 14:11:18.930525,2025-11-18 14:11:24.402812
2025-11-18 14:11:42.999821,70,68,No,N/A,1.000,2025-11-18 14:11:36.383157,2025-11-18 14:11:42.894615
2025-11-18 14:12:04.218670,67,68,No,N/A,1.000,2025-11-18 14:11:54.104639,2025-11-18 14:12:04.113561
2025-11-18 14:12:23.094975,68,68,No,N/A,1.000,2025-11-18 14:12:13.989112,2025-11-18 14:12:22.993081
2025-11-18 14:12:46.302140,69,68,No,N/A,1.000,2025-11-18 14:12:34.936521,2025-11-18 14:12:46.198137
2025-11-18 14:13:03.657920,71,68,No,N/A,1.000,2025-11-18 14:12:57.852831,2025-11-18 14:13:03.555600
2025-11-18 14:13:24.857078,68,68,No,N/A,1.000,2025-11-18 14:13:15.629064,2025-11-18 14:13:24.756472
2025-11-18 14:13:44.866025,68,68,No,N/A,1.000,2025-11-18 14:13:39.098218,2025-11-18 14:13:44.762000
2025-11-18 14:14:11.587304,68,68,No,N/A,1.000,2025-11-18 14:13:56.971823,2025-11-18 14:14:11.482810
