Timestamp,HR at Recording Start (BPM)
2025-11-18 14:17:04.785724,70
2025-11-18 14:17:18.688917,71
2025-11-18 14:17:33.765358,64
2025-11-18 14:17:52.464705,71
2025-11-18 14:18:13.592962,68
2025-11-18 14:18:33.252130,64
2025-11-18 14:18:54.118535,67
2025-11-18 14:19:17.416629,65
2025-11-18 14:19:38.584688,67
2025-11-18 14:19:59.643564,67
2025-11-18 14:20:18.340980,70
2025-11-18 14:20:40.713981,67
2025-11-18 14:20:59.110097,70
2025-11-18 14:21:14.030775,71
2025-11-18 14:21:32.299533,69
2025-11-18 14:21:50.250853,71
2025-11-18 14:22:09.125671,71
2025-11-18 14:22:26.872358,70
2025-11-18 14:22:46.599238,71
2025-11-18 14:23:06.308919,70
2025-11-18 14:23:22.205964,68
