Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 12:44:18.010556,86,85,Yes,N/A,1.975,2025-12-25 12:44:15.586369,2025-12-25 12:44:18.010478
2025-12-25 12:44:35.453681,89,85,Yes,N/A,1.000,2025-12-25 12:44:25.205821,2025-12-25 12:44:35.453618
2025-12-25 12:44:54.224328,79,85,Yes,N/A,1.845,2025-12-25 12:44:45.247784,2025-12-25 12:44:54.224260
2025-12-25 12:45:13.386077,76,85,Yes,N/A,2.000,2025-12-25 12:45:03.741265,2025-12-25 12:45:13.386031
2025-12-25 12:45:36.153048,83,85,Yes,N/A,2.000,2025-12-25 12:45:24.400010,2025-12-25 12:45:36.152996
2025-12-25 12:45:54.728314,80,85,Yes,N/A,2.000,2025-12-25 12:45:43.723517,2025-12-25 12:45:54.728263
2025-12-25 12:46:21.486075,77,85,Yes,N/A,2.000,2025-12-25 12:46:09.926354,2025-12-25 12:46:21.485906
2025-12-25 12:46:42.088446,81,85,Yes,N/A,2.000,2025-12-25 12:46:30.419061,2025-12-25 12:46:42.088393
2025-12-25 12:47:01.265175,82,85,Yes,N/A,2.000,2025-12-25 12:46:50.107854,2025-12-25 12:47:01.265134
2025-12-25 12:47:31.178109,82,85,Yes,N/A,2.000,2025-12-25 12:47:16.280407,2025-12-25 12:47:31.178068
2025-12-25 12:47:54.138867,82,85,Yes,N/A,2.000,2025-12-25 12:47:40.671270,2025-12-25 12:47:54.138829
2025-12-25 12:48:20.804923,88,85,Yes,N/A,1.375,2025-12-25 12:48:07.904245,2025-12-25 12:48:20.804884
2025-12-25 12:48:45.399820,85,85,Yes,N/A,1.950,2025-12-25 12:48:31.019068,2025-12-25 12:48:45.399779
2025-12-25 12:49:12.984593,88,85,Yes,N/A,2.000,2025-12-25 12:49:01.351621,2025-12-25 12:49:12.984553
2025-12-25 12:49:43.546283,89,85,Yes,N/A,1.850,2025-12-25 12:49:29.531339,2025-12-25 12:49:43.546245
2025-12-25 12:50:04.806672,80,85,Yes,N/A,1.170,2025-12-25 12:49:52.922479,2025-12-25 12:50:04.806594
2025-12-25 12:50:29.374911,80,85,Yes,N/A,1.350,2025-12-25 12:50:15.750617,2025-12-25 12:50:29.374846
2025-12-25 12:50:55.125205,81,85,Yes,N/A,1.250,2025-12-25 12:50:41.433476,2025-12-25 12:50:55.125164
2025-12-25 12:51:21.953614,75,85,Yes,N/A,1.310,2025-12-25 12:51:07.875496,2025-12-25 12:51:21.953568
2025-12-25 12:51:45.153817,73,85,Yes,N/A,1.310,2025-12-25 12:51:33.275137,2025-12-25 12:51:45.153746
