Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-12 19:11:12.121628,82,80,No,N/A,1.000
2025-06-12 19:11:24.340547,83,80,No,N/A,1.000
2025-06-12 19:11:42.619666,84,80,No,N/A,1.000
2025-06-12 19:12:13.657613,80,80,No,N/A,1.000
2025-06-12 19:12:52.376017,82,80,No,N/A,1.000
2025-06-12 19:13:38.482306,82,80,No,N/A,1.000
2025-06-12 19:14:30.263492,79,80,No,N/A,1.000
2025-06-12 19:15:26.534326,78,80,No,N/A,1.000
2025-06-12 19:16:37.051172,79,80,No,N/A,1.000
2025-06-12 19:17:39.282333,79,80,No,N/A,1.000
2025-06-12 19:18:55.452616,78,80,No,N/A,1.000
