Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-12 19:21:16.720726,85,80,Yes,N/A,1.000
2025-06-12 19:21:29.037350,81,80,Yes,N/A,1.100
2025-06-12 19:21:40.589804,79,80,Yes,N/A,1.200
2025-06-12 19:21:56.970311,78,80,Yes,N/A,1.300
2025-06-12 19:22:13.044272,77,80,Yes,N/A,1.400
2025-06-12 19:22:44.173184,78,80,Yes,N/A,1.500
2025-06-12 19:23:11.022699,81,80,Yes,N/A,1.600
2025-06-12 19:23:40.495856,74,80,Yes,N/A,1.700
2025-06-12 19:24:14.587556,71,80,Yes,N/A,1.800
2025-06-12 19:24:39.785874,75,80,Yes,N/A,1.900
2025-06-12 19:25:06.006297,78,80,Yes,N/A,2.000
2025-06-12 19:25:34.633509,81,80,Yes,N/A,1.900
2025-06-12 19:26:01.087923,78,80,Yes,N/A,1.800
2025-06-12 19:26:34.633118,83,80,Yes,N/A,1.700
2025-06-12 19:27:16.629914,81,80,Yes,N/A,1.600
2025-06-12 19:27:54.080288,81,80,Yes,N/A,1.500
