Timestamp,HR at Recording Start (BPM)
2025-06-12 19:21:16.954218,84
2025-06-12 19:21:29.381274,81
2025-06-12 19:21:42.526834,80
2025-06-12 19:21:59.541650,77
2025-06-12 19:22:14.514442,77
2025-06-12 19:22:45.781771,77
2025-06-12 19:23:13.823428,79
2025-06-12 19:23:41.810148,73
2025-06-12 19:24:15.834569,73
2025-06-12 19:24:41.275226,77
2025-06-12 19:25:07.987561,78
2025-06-12 19:25:35.868099,80
2025-06-12 19:26:02.006543,77
2025-06-12 19:26:36.105073,85
2025-06-12 19:27:17.411681,80
2025-06-12 19:27:55.827781,80
