Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 17:24:52.588683,81,70,No,N/A,1.000,2025-12-25 17:24:50.135979,2025-12-25 17:24:52.588643
2025-12-25 17:25:07.958698,81,70,No,N/A,1.000,2025-12-25 17:25:01.525544,2025-12-25 17:25:07.958655
2025-12-25 17:25:27.443638,75,70,No,N/A,1.000,2025-12-25 17:25:17.815375,2025-12-25 17:25:27.443575
2025-12-25 17:25:56.103265,74,70,No,N/A,1.000,2025-12-25 17:25:43.973670,2025-12-25 17:25:56.103220
2025-12-25 17:26:24.278238,71,70,No,N/A,1.000,2025-12-25 17:26:10.896019,2025-12-25 17:26:24.278170
2025-12-25 17:26:58.027327,74,70,No,N/A,1.000,2025-12-25 17:26:45.081284,2025-12-25 17:26:58.027285
2025-12-25 17:27:22.589244,70,70,No,N/A,1.000,2025-12-25 17:27:12.085100,2025-12-25 17:27:22.589203
2025-12-25 17:27:51.558115,70,70,No,N/A,1.000,2025-12-25 17:27:39.482508,2025-12-25 17:27:51.558061
2025-12-25 17:28:17.289179,71,70,No,N/A,1.000,2025-12-25 17:28:04.361458,2025-12-25 17:28:17.289127
2025-12-25 17:28:35.276555,73,70,No,N/A,1.000,2025-12-25 17:28:26.150881,2025-12-25 17:28:35.276505
2025-12-25 17:28:57.618408,71,70,No,N/A,1.000,2025-12-25 17:28:44.804409,2025-12-25 17:28:57.617227
2025-12-25 17:29:22.855633,79,70,No,N/A,1.000,2025-12-25 17:29:08.324240,2025-12-25 17:29:22.855591
2025-12-25 17:29:51.790926,70,70,No,N/A,1.000,2025-12-25 17:29:36.688021,2025-12-25 17:29:51.790867
2025-12-25 17:30:24.203939,69,70,No,N/A,1.000,2025-12-25 17:30:09.491299,2025-12-25 17:30:24.203628
2025-12-25 17:30:52.377188,73,70,No,N/A,1.000,2025-12-25 17:30:38.435071,2025-12-25 17:30:52.377150
2025-12-25 17:31:23.608279,73,70,No,N/A,1.000,2025-12-25 17:31:06.675906,2025-12-25 17:31:23.608235
2025-12-25 17:32:00.206765,75,70,No,N/A,1.000,2025-12-25 17:31:41.196963,2025-12-25 17:32:00.206638
